location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
?,8/01/2016 11:43,-200,-200,-200,-200,,,,-200,-86,-200,-200,-200,-200
?,8/01/2016 11:43,-200,-200,,-200,-200,-200,,-200,-82,-200,-200,-200,-200
?,8/01/2016 11:43,-79,-200,,-200,-200,,,-200,-84,-200,-200,-200,-200
?,8/01/2016 11:43,-79,-200,,-200,-200,,-200,-200,-84,-200,-200,-200,-200
?,8/01/2016 11:43,-79,-200,,,-200,,,-200,-84,-200,-200,-200,-200
?,8/01/2016 11:43,-81,-200,-200,,,,,-200,-84,-200,-200,-200,-200
?,8/01/2016 11:43,-81,-200,,,-200,,,-200,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-82,-200,-200,-200,,,,-200,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-81,-200,-200,-200,,,-200,-200,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-77,-200,,,-200,-200,,-200,-87,-200,-200,-200,-200
?,8/01/2016 11:44,-74,-200,,-200,-200,,-200,-200,-88,-200,-200,-200,-200
?,8/01/2016 11:44,-73,-200,-200,-200,,-200,-200,-200,-86,-200,-200,-200,-200
?,8/01/2016 11:44,-72,-200,,-200,-200,,,-200,-86,-200,-200,-200,-200
?,8/01/2016 11:44,-77,-200,-200,-200,,-200,,-200,-86,-200,-200,-200,-200
?,8/01/2016 11:44,-66,-200,-200,-200,,,-200,-200,-86,-200,-200,-200,-200
?,8/01/2016 11:44,-66,-200,-200,,,,,-200,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-71,-200,,,-200,-200,-200,-200,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-66,-200,-200,-200,,,,-200,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-66,-200,-200,,,-200,-200,-80,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-70,-200,,-200,-200,,,-79,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-71,-200,-200,-200,,-200,-200,-79,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-77,-200,-200,-200,,,,-79,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-80,-200,,-200,,,,-77,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-80,-200,-200,-200,,,-200,-79,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-77,-200,-200,-200,,,-200,-74,-200,-200,-200,-200,-200
?,8/01/2016 11:44,-77,-200,,,,,,-74,-200,-200,-200,-200,-200
